Operador,Nota,Nota da Org
•Phyllis Barron,10,9
•Hari Waters,10,5
•Mali Whittington,10,7
•Christina Mcintyre,10,10
•Amarah Douglas,10,6
•Cody Whittle,10,7
•Tasnia Sharma,10,10
•Roman Oconnell,7,1
•Shani Cantu,10,5
•Hari Waters,10,10
•Neha Clemons,10,10
•Mea Lee,10,1
•Jolie Hodson,10,10
•Bethan Hills,9,7
•Tasnia Sharma,10,8
•Alexandria Murphy,10,9
•Lucie Campbell,10,8
•Roman Oconnell,10,10
•Adelaide Stafford,10,10
•Harleigh Stone,10,5
•Phyllis Barron,10,10
•Maciej Maddox,9,7
•Todd Wooten,8,7
¶Ned Hamilton,10,10
•Dawson Clifford,10,10
•Jolie Hodson,8,8
•Bethan Hills,10,7
•Amarah Douglas,9,6
•Mariyam Mcgill,10,5
•Mali Whittington,10,10
•Derek Webber,8,8
•Shani Cantu,10,5
•Braxton Cuevas,10,10
•Lily Conway,10,5
•Harleigh Stone,9,9
•Taliyah Soto,10,9
•Mea Lee,9,1
•Jolie Hodson,10,10
•Amarah Douglas,1,1
•Simon Woods,10,10
•Derek Webber,10,10
•Shani Cantu,10,8
¶Brayden Farrow,10,9
•Tasnia Sharma,10,10
•Maciej Maddox,10,5
•Mea Lee,10,7
•Jolie Hodson,10,1
•Bethan Hills,10,9
•Mali Whittington,10,8
•Ivor Woodard,10,10
•Derek Webber,10,10
•Shani Cantu,10,9
•Jolene Mcgowan,10,10
•Mea Lee,10,10
•Miah Welch,10,10
•Bethan Hills,10,10
•Christina Mcintyre,10,7
•Neha Clemons,10,10
•Lucie Campbell,10,10
•Ivor Woodard,10,9
•Derek Webber,10,10
•Shani Cantu,10,9
•Jolene Mcgowan,10,10
•Ellie Glover,10,10
•Lennox Fleming,1,1
•Kwame Castillo,10,8
•Neha Clemons,10,8
•Yara Wright,10,10
•Mali Whittington,10,10
•Lucie Campbell,10,10
•Szymon Mcdougall,10,5
•Adelaide Stafford,10,7
•Roman Oconnell,10,10
•Ellie Glover,9,1
•Kwame Castillo,10,10
•Alexandria Murphy,10,9
•Tasnia Sharma,10,1
•Lennox Fleming,1,1
•Taliyah Soto,10,10
•Cody Whittle,10,10
•Ivor Woodard,10,10
¶Brayden Farrow,10,8
•Hari Waters,10,10
•Mea Lee,10,10
•Ellie Glover,10,8
•Todd Wooten,10,8
•Jolie Hodson,10,3
•Amarah Douglas,10,1
•Taliyah Soto,10,1
•Neha Clemons,10,4
•Mali Whittington,10,10
¶Ned Hamilton,10,10
•Todd Wooten,10,1
•Kwame Castillo,10,10
•Leland Atkinson,10,10
•Christina Mcintyre,10,10
•Dawson Clifford,10,10
•Simon Woods,6,5
•Ellie Glover,10,10
•Todd Wooten,1,1
¶Ned Hamilton,10,10
¶Poppie Moses,10,10
•Lucie Campbell,1,1
¶Brayden Farrow,10,10
•Taliyah Soto,1,1
•Christina Mcintyre,10,5
•Roman Oconnell,9,7
•Lennox Fleming,10,10
•Mali Whittington,10,8
•Conrad Haney,10,10
•Simon Woods,8,10
•Abdullahi Edwards,10,10
•Miah Welch,10,10
•Jolene Mcgowan,10,10
•Christina Mcintyre,10,10
•Hari Waters,10,5
•Roman Oconnell,8,7
•Owen Ruiz,10,5
•Mali Whittington,10,10
•Dawson Clifford,10,10
•Cody Whittle,9,5
•Lennox Fleming,10,10
•Miah Welch,10,8
•Taliyah Soto,10,10
•Hari Waters,10,6
•Roman Oconnell,10,10
•Mali Whittington,10,10
•Tasnia Sharma,7,7
•Conrad Haney,10,1
•Shani Cantu,10,5
•Suzannah Stephenson,9,2
•Asha Reese,5,3
•Cody Whittle,10,9
•Braxton Cuevas,9,7
•Khaleesi Richmond,10,10
•Roman Oconnell,10,3
•Hebe Byrd,10,10
•Georgie Wicks,10,3
•Shani Cantu,10,10
•Simon Woods,10,10
•Cody Whittle,10,5
•Amarah Douglas,10,10
•Jolene Mcgowan,6,1
•Hari Waters,10,5
•Mali Whittington,10,10
•Conrad Haney,10,4
•Khaleesi Richmond,2,1
•Miah Welch,10,10
•Hebe Byrd,10,8
•Ivor Woodard,10,10
•Shani Cantu,10,10
•Cody Whittle,10,10
•Amelia-PLily Hayden,3,7
•Brodie O'Brien,10,5
¶Brayden Farrow,10,1
•Todd Wooten,10,9
•Leland Atkinson,10,10
•Jem Davey,5,1
•Kwame Castillo,10,10
•Ellie Glover,7,7
•Georgie Wicks,10,10
•Shani Cantu,10,10
•Amelia-PLily Hayden,10,10
•Lucie Campbell,10,3
•Abdullahi Edwards,10,10
•Jolene Mcgowan,9,9
•Owen Ruiz,10,7
•Christina Mcintyre,9,7
•Simon Woods,9,5
•Murray Obrien,10,5
•Ellie Glover,10,5
•Shani Cantu,10,10
•Mali Whittington,10,10
•Conrad Haney,10,10
•Cody Whittle,10,8
•Owen Ruiz,10,10
¶Sanjay Barnard,10,10
•Kwame Castillo,10,10
•Murray Obrien,10,10
•Hebe Byrd,7,6
•Ivor Woodard,10,10
•Szymon Mcdougall,10,6
•Asha Reese,10,10
•Christina Mcintyre,8,2
•Todd Wooten,9,5
¶Sanjay Barnard,10,1
•Cristiano Bender,10,10
¶Brayden Farrow,10,9
•Brodie O'Brien,10,10
•Ivor Woodard,10,7
•Szymon Mcdougall,10,9
•Simon Woods,10,10
•Mali Whittington,10,5
•Braxton Cuevas,10,10
•Conrad Haney,10,10
•Miah Welch,10,10
•Murray Obrien,10,10
•Ayse Stevens,10,8
•Abdullahi Edwards,10,7
•Ellie Glover,10,10
•Khaleesi Richmond,10,7
•Ivor Woodard,10,10
•Szymon Mcdougall,10,10
•Amelia-PLily Hayden,10,5
•Hebe Byrd,10,10
•Conrad Haney,10,6
•Taliyah Soto,10,10
•Mali Whittington,9,1
•Amelia-PLily Hayden,10,10
•Umaiza Bullock,10,5
•Lorelai Mora,10,1
¶Sanjay Barnard,10,10
•Cristiano Bender,10,1
•Khaleesi Richmond,10,10
•Kane Mac,10,10
•Ivor Woodard,8,5
•Suzannah Stephenson,10,1
•Mali Whittington,10,6
¶Brayden Farrow,10,10
•Umaiza Bullock,10,10
•Cruz Horton,10,10
•Hebe Byrd,10,9
•Khaleesi Richmond,10,3
•Szymon Mcdougall,10,7
¶Sanjay Barnard,10,10
•Suzannah Stephenson,10,1
•Georgie Wicks,10,8
¶Sanjay Barnard,10,9
•Abdullahi Edwards,10,7
•Cerys Rhodes,10,5
•Szymon Mcdougall,10,7
•Suzannah Stephenson,10,1
•Braxton Cuevas,10,7
•Ellie Glover,10,1
•Amarah Douglas,10,10
•Cerys Rhodes,10,1
•Kane Mac,10,6
•Simon Woods,9,7
•Kwame Castillo,10,5
•Szymon Mcdougall,10,1
•Mali Whittington,10,5
•Asha Reese,10,3
•Miah Welch,10,5
•Pheobe Bevan,10,9
•Kane Mac,10,2
¶Sanjay Barnard,10,10
•Simon Woods,10,10
•Cristiano Bender,9,7
•Cruz Horton,10,10
•Mali Whittington,10,2
•Owen Ruiz,9,5
¶Brayden Farrow,10,10
•Amarah Douglas,10,10
•Brodie O'Brien,9,7
•Cristiano Bender,3,1
•Cody Whittle,10,4
•Cruz Horton,10,10
•Umaiza Bullock,10,7
•Asha Reese,10,5
•Conrad Haney,10,8
•Miah Welch,10,5
•Abdullahi Edwards,10,10
¶Abbey Hodge,10,7
•Shani Cantu,1,1
•Simon Woods,10,7
•Brodie O'Brien,8,7
•Georgie Wicks,10,10
•Hebe Byrd,10,10
•Bronwen Winter,10,9
•Cerys Rhodes,8,1
•Braxton Cuevas,10,10
•Amelia-PLily Hayden,10,10
•Manal Hewitt,5,10
•Alanah Fowler,10,9
•Murray Obrien,10,1
•Kane Mac,10,6
•Simon Woods,10,10
•Brodie O'Brien,10,10
•Hebe Byrd,5,5
•Bronwen Winter,10,10
•Umaiza Bullock,10,8
•Dani Ray,1,1
•Cerys Rhodes,10,8
•Amelia-PLily Hayden,10,10
•Christina Mcintyre,9,7
¶Briana Hines,10,6
•Alanah Fowler,10,10
•Mariana Ware,10,3
•Murray Obrien,10,10
•Lorelai Mora,10,5
•Shani Cantu,5,7
•Charley Bernard,10,6
•Pheobe Bevan,10,9
•Bronwen Winter,10,10
•Grady Forster,10,6
•Cruz Horton,9,8
•Dani Ray,9,7
•Manal Hewitt,10,10
•Owen Ruiz,10,1
•Conrad Haney,10,5
•Georgie Wicks,10,10
•Shani Cantu,10,10
•Amelia-PLily Hayden,8,5
•Mali Whittington,10,1
•Manal Hewitt,10,10
•Owen Ruiz,10,5
•Cruz Horton,10,8
•Kane Mac,10,10
•Charley Bernard,10,10
•Simon Woods,10,9
•Dani Ray,10,7
•Katherine Stuart,10,9
•Shani Cantu,10,10
•Cristiano Bender,1,1
•Pheobe Bevan,10,6
•Alanah Fowler,10,10
•Mariana Ware,10,10
•Kwame Castillo,10,10
•Manal Hewitt,9,2
•Hebe Byrd,10,1
•Simon Woods,10,5
•Dani Ray,3,3
•Katherine Stuart,7,1
•Miah Welch,10,3
•Leland Atkinson,10,10
•Alanah Fowler,10,6
•Mariana Ware,10,6
•Murray Obrien,10,10
•Kwame Castillo,10,10
•Ella-•Mae Contreras,10,9
•Charley Bernard,10,10
•Dani Ray,1,1
•Braxton Cuevas,10,5
•Mali Whittington,10,7
•Mariana Ware,10,8
•Charley Bernard,10,4
•Cody Whittle,9,5
•Amelia-PLily Hayden,10,5
•Suzannah Stephenson,10,7
•Braxton Cuevas,1,1
•Mali Whittington,10,1
•Leland Atkinson,10,8
•Georgie Wicks,10,10
•Bronwen Winter,7,1
•Lorelai Mora,10,8
•Murray Obrien,10,5
•Cristiano Bender,10,5
•Abdullahi Edwards,8,6
•Mariana Ware,10,9
•Conrad Haney,10,10
•Simon Woods,10,10
•Lorelai Mora,10,1
¶Abbey Hodge,7,4
•Mariana Ware,8,7
•Conrad Haney,10,10
•Katherine Stuart,10,6
•Mali Whittington,10,8
•Braxton Cuevas,1,1
¶Briana Hines,9,7
•Georgie Wicks,10,6
•Amelia-PLily Hayden,1,10
•Abdullahi Edwards,10,7
•Ella-•Mae Contreras,9,7
•Miah Welch,10,7
•Szymon Mcdougall,10,8
•Mariana Ware,10,10
•Simon Woods,10,6
•Suzannah Stephenson,10,10
¶Sanjay Barnard,10,1
•Ayse Stevens,10,10
•Manal Hewitt,10,7
•Alanah Fowler,10,5
•Conrad Haney,10,10
•Georgie Wicks,10,6
•Cody Whittle,10,4
•Suzannah Stephenson,8,8
•Pheobe Bevan,10,10
•Cruz Horton,1,1
•Kane Mac,10,8
•Ayse Stevens,10,7
•Charley Bernard,10,5
•Umaiza Bullock,10,10
•Katherine Stuart,10,4
•Conrad Haney,10,10
•Simon Woods,10,8
•Rikki Kumar,10,10
•Cruz Horton,1,1
¶Abbey Hodge,10,5
•Cerys Rhodes,10,5
•Cristiano Bender,10,10
•Kwame Castillo,10,8
•Asha Reese,10,10
•Dani Ray,5,10
¶Sanjay Barnard,10,8
•Shani Cantu,10,10
•Cerys Rhodes,10,10
•Ayse Stevens,5,1
•Charley Bernard,10,9
•Ella-•Mae Contreras,10,8
•Cruz Horton,10,10
•Murray Obrien,10,10
•Dani Ray,10,10
•Rikki Kumar,10,10
•Shani Cantu,10,1
•Mariana Ware,10,7
•Charley Bernard,10,10
•Ella-•Mae Contreras,6,1
•Bronwen Winter,10,9
•Brodie O'Brien,10,8
•Conrad Haney,10,9
•Cody Whittle,10,8
•Pheobe Bevan,10,10
¶Abbey Hodge,10,2
•Mariana Ware,10,10
•Charley Bernard,10,8
•Manal Hewitt,10,10
•Grady Forster,10,8
•Brodie O'Brien,10,8
¶Briana Hines,10,8
•Asha Reese,5,1
•Cruz Horton,1,1
•Kwame Castillo,10,6
•Cristiano Bender,10,10
•Rikki Kumar,10,5
•Cody Whittle,8,1
•Pheobe Bevan,10,10
•Alanah Fowler,10,10
•Simon Woods,10,7
•Lorelai Mora,10,10
•Mariana Ware,5,5
•Charley Bernard,10,10
•Cerys Rhodes,9,4
•Ella-•Mae Contreras,10,5
•Manal Hewitt,10,7
•Grady Forster,10,10
•Kane Mac,10,10
•Umaiza Bullock,10,6
¶Abbey Hodge,10,5
•Murray Obrien,10,8
•Georgie Wicks,10,10
•Katherine Stuart,8,8
•Ayse Stevens,10,8
•Conrad Haney,10,10
•Kwame Castillo,10,8
•Pheobe Bevan,1,1
•Shani Cantu,10,1
•Mariana Ware,10,9
•Cerys Rhodes,10,10
•Georgie Wicks,10,9
•Cody Whittle,10,10
•Rikki Kumar,10,8
•Ayse Stevens,9,8
•Mariana Ware,10,10
•Cerys Rhodes,10,10
•Alanah Fowler,10,6
•Cody Whittle,10,8
•Amarah Douglas,9,9
•Suzannah Stephenson,10,1
•Pheobe Bevan,8,7
•Simon Woods,9,7
¶Sanjay Barnard,9,5
•Cody Whittle,1,1
•Owen Ruiz,3,2
•Kwame Castillo,10,9
•Asha Reese,10,1
•Asha Reese,10,10
•Katherine Stuart,10,5
•Dani Ray,10,5
•Georgie Wicks,7,2
•Pheobe Bevan,10,10
•Rojin Woodcock,10,8
•Charley Bernard,10,10
•Cristiano Bender,8,6
•Bronwen Winter,10,10
•Rojin Woodcock,10,6
•Owen Ruiz,10,10
•Grady Forster,1,1
•Cristiano Bender,10,10
•Umaiza Bullock,10,9
•Cruz Horton,10,10
•Manal Hewitt,1,1
•Manal Hewitt,7,8
•Pheobe Bevan,10,10
•Dani Ray,10,10
•Manal Hewitt,10,9
•Amarah Douglas,10,7
•Shani Cantu,10,10
•Rikki Kumar,10,10
•Rojin Woodcock,10,5
•Mariana Ware,10,6
•Cydney Drake,10,3
•Cydney Drake,10,10
•Cerys Rhodes,10,8
•Amarah Douglas,10,8
•Katherine Stuart,1,10
•Owen Ruiz,1,2
•Manal Hewitt,10,10
•Dani Ray,8,1
•Ella-•Mae Contreras,10,10
•Ella-•Mae Contreras,8,7
•Ayse Stevens,10,6
•Manal Hewitt,10,10
•Lorelai Mora,10,10
•Dani Ray,10,10
•Alanah Fowler,10,8
•Rojin Woodcock,10,6
•Grady Forster,9,2
•Charley Bernard,10,10
•Mariana Ware,10,7
•Charley Bernard,10,10
•Alanah Fowler,10,10
•Cydney Drake,10,4
•Cydney Drake,10,10
•Rojin Woodcock,10,10
•Grady Forster,8,9
•Katherine Stuart,10,10
¶Briana Hines,10,7
•Manal Hewitt,10,9
•Lorelai Mora,10,4
•Alanah Fowler,8,2
•Bronwen Winter,10,1
•Manal Hewitt,9,9
•Charley Bernard,10,10
•Umaiza Bullock,10,7
•Umaiza Bullock,10,10
•Charley Bernard,10,10
•Manal Hewitt,10,5
¶Briana Hines,6,1
•Cydney Drake,10,10
•Charley Bernard,10,10
•Rojin Woodcock,10,6
•Charley Bernard,7,1
¶Abbey Hodge,10,5
•Alanah Fowler,1,1
•Charley Bernard,10,7
•Amarah Douglas,10,9
•Cydney Drake,8,8
•Amarah Douglas,9,5
•Amarah Douglas,1,1
•Grady Forster,10,1
•Grady Forster,10,9
•Lorelai Mora,10,10
•Lorelai Mora,10,7
•Lorelai Mora,8,8
•Shani Cantu,10,10
•Cydney Drake,10,10
•Mariana Ware,10,1
•Rajveer Paine,10,8
•Rose Calderon,10,10
•Mariana Ware,10,10
¶Briana Hines,9,6
•Grady Forster,10,10
•Dani Ray,10,10
•Rose Calderon,9,6
•Dani Ray,10,8
•Bronwen Winter,10,10
•Cydney Drake,10,10
•Rajveer Paine,10,7
•Rojin Woodcock,10,9
•Rajveer Paine,10,7
¶Abbey Hodge,10,8
•Rojin Woodcock,9,8
•Rojin Woodcock,5,3
•Rajveer Paine,9,5
•Cydney Drake,10,10
•Rajveer Paine,10,9
•Rajveer Paine,10,8
•Jake Cote,10,8
•Rose Calderon,10,8
•Cydney Drake,10,7
•Rose Calderon,10,10
•Rose Calderon,9,5
•Rajveer Paine,10,10
•Rajveer Paine,10,7
•Rajveer Paine,8,1
•Rojin Woodcock,1,1
•Jake Cote,10,7
•Cydney Drake,10,2
•Rojin Woodcock,10,10
•Rajveer Paine,10,8
•Rose Calderon,10,5
•Jake Cote,10,10
•Cydney Drake,1,1
•Rajveer Paine,10,10
•Rose Calderon,10,10
•Jake Cote,10,10
•Cydney Drake,10,10
•Rajveer Paine,10,4
•Jake Cote,9,8
•Jake Cote,10,7
•Jake Cote,10,10
•Jake Cote,7,4
•Jake Cote,10,6
•Harleigh Stone,10,9
•Dionne Compton,10,10
•Desiree Reynolds,10,6
•Mariyam Mcgill,9,6
•Harleigh Stone,10,7
•Lily Conway,10,8
•Yara Wright,7,2
•Dionne Compton,6,3
•Derek Webber,9,7
•Mea Lee,5,5
•Neha Clemons,10,5
•Derek Webber,8,1
•Mariyam Mcgill,10,7
•Dionne Compton,10,8
•Desiree Reynolds,10,10
•Lily Conway,7,1
•Trinity Alvarado,10,1
•Adelaide Stafford,10,10
•Neha Clemons,1,1
•Derek Webber,9,9
•Dionne Compton,1,1
•Bethan Hills,10,10
¶Ned Hamilton,10,7
•Lily Conway,10,10
•Neha Clemons,10,1
•Derek Webber,10,10
•Maciej Maddox,10,3
•Trinity Alvarado,8,8
¶Ned Hamilton,10,10
•Jolie Hodson,10,10
•Mea Lee,10,10
•Desiree Reynolds,10,7
•Lily Conway,10,8
•Lleyton Parkinson,10,1
•Neha Clemons,10,10
•Derek Webber,10,10
•Harleigh Stone,1,1
•Jolie Hodson,10,10
•Dawson Clifford,10,10
•Maciej Maddox,10,10
•Mea Lee,10,10
•Bethan Hills,10,10
•Desiree Reynolds,4,2
•Adelaide Stafford,10,7
•Derek Webber,7,4
¶Poppie Moses,10,5
•Phyllis Barron,10,10
•Dionne Compton,10,10
•Lily Conway,9,8
•Dawson Clifford,10,10
•Maciej Maddox,10,10
•Adelaide Stafford,10,10
¶Ned Hamilton,10,7
•Desiree Reynolds,8,5
•Jem Davey,10,5
•Lily Conway,7,1
•Maciej Maddox,10,8
•Harleigh Stone,10,10
•Trinity Alvarado,10,10
•Lleyton Parkinson,10,10
•Yara Wright,10,10
•Dawson Clifford,9,10
•Derek Webber,10,7
•Mea Lee,6,5
•Dionne Compton,9,7
•Jem Davey,10,10
•Tasnia Sharma,10,6
•Jolie Hodson,10,10
•Lleyton Parkinson,6,1
•Jolene Mcgowan,9,9
•Trinity Alvarado,1,1
¶Poppie Moses,10,10
•Lily Conway,10,10
•Adelaide Stafford,10,9
•Dionne Compton,10,8
•Jem Davey,10,1
•Jolene Mcgowan,1,1
•Harleigh Stone,10,5
•Jolene Mcgowan,10,10
•Mariyam Mcgill,10,10
•Kwame Castillo,10,10
•Neha Clemons,10,6
•Yara Wright,10,6
•Trinity Alvarado,10,10
•Jolene Mcgowan,10,7
•Bethan Hills,10,10
•Harleigh Stone,9,5
•Yara Wright,10,10
•Mariyam Mcgill,10,8
•Jolene Mcgowan,10,10
•Dionne Compton,10,10
•Taliyah Soto,10,10
•Kwame Castillo,10,10
•Ivor Woodard,10,9
•Desiree Reynolds,10,10
•Roman Oconnell,10,10
•Mariyam Mcgill,10,8
•Hari Waters,10,10
•Adelaide Stafford,1,1
•Tasnia Sharma,10,10
¶Poppie Moses,10,7
•Lennox Fleming,10,10
•Jolie Hodson,10,8
•Ivor Woodard,10,10
•Phyllis Barron,10,7
•Roman Oconnell,9,1
•Mariyam Mcgill,10,1
•Lily Conway,10,10
•Alexandria Murphy,1,1
•Tasnia Sharma,10,10
•Hari Waters,10,10
•Bethan Hills,7,5
•Ivor Woodard,8,6
•Taliyah Soto,10,1
•Roman Oconnell,10,10
•Harleigh Stone,10,10
•Bethan Hills,10,10
•Kwame Castillo,9,5
•Ivor Woodard,10,10
•Derek Webber,10,10
•Neha Clemons,10,5
•Dawson Clifford,10,6
•Lily Conway,10,10
•Mea Lee,10,10
•Todd Wooten,10,1
•Jolie Hodson,10,9
•Alexandria Murphy,10,10
•Bethan Hills,10,7
•Lennox Fleming,10,10
•Kwame Castillo,10,1
•Brodie O'Brien,8,8
•Mea Lee,1,7
¶Ned Hamilton,10,9
•Kwame Castillo,9,1
•Adelaide Stafford,10,7
•Derek Webber,8,1
•Lily Conway,10,10
•Desiree Reynolds,10,10
•Mea Lee,10,10
•Lennox Fleming,10,7
•Jolene Mcgowan,10,8
•Adelaide Stafford,10,8
•Phyllis Barron,10,7
•Taliyah Soto,10,10
•Alexandria Murphy,10,9
•Lennox Fleming,10,1
•Phyllis Barron,10,8
•Todd Wooten,5,1
•Phyllis Barron,6,1
•Mea Lee,10,10
•Maciej Maddox,10,10
•Alexandria Murphy,10,10
•Jolie Hodson,8,6
•Dionne Compton,10,10
•Desiree Reynolds,10,2
•Jolie Hodson,10,5
¶Ned Hamilton,10,10
•Roman Oconnell,10,10
•Desiree Reynolds,10,10
•Lily Conway,10,9
•Trinity Alvarado,10,10
•Neha Clemons,1,1
•Dawson Clifford,10,8
¶Ammaar Terrell,3,1
•Jem Davey,10,10
•Jolene Mcgowan,10,10
•Hari Waters,10,10
•Dionne Compton,10,10
•Dawson Clifford,5,4
•Yara Wright,10,9
•Mea Lee,10,10
•Yara Wright,10,10
•Mea Lee,10,10
•Jem Davey,7,3
•Jolene Mcgowan,10,10
•Ivor Woodard,10,7
•Lily Conway,1,1
•Alexandria Murphy,10,10
•Lleyton Parkinson,10,6
•Mea Lee,8,5
•Roman Oconnell,10,10
¶Ned Hamilton,10,10
•Maciej Maddox,10,10
•Taliyah Soto,10,2
•Jolie Hodson,8,8
•Hari Waters,10,10
•Todd Wooten,10,10
•Lily Conway,10,10
•Taliyah Soto,1,1
•Yara Wright,8,4
•Jolie Hodson,10,10
•Alexandria Murphy,10,9
•Maciej Maddox,10,10
•Tasnia Sharma,8,6
•Taliyah Soto,10,10
•Derek Webber,3,3
•Maciej Maddox,1,1
•Taliyah Soto,10,8
•Desiree Reynolds,10,10
•Todd Wooten,10,9
•Maciej Maddox,10,10
•Tasnia Sharma,8,6
•Neha Clemons,10,6
•Derek Webber,9,7
•Roman Oconnell,10,7
•Alexandria Murphy,10,10
•Todd Wooten,10,10
•Adelaide Stafford,10,10
•Derek Webber,1,5
•Brodie O'Brien,10,10
•Neha Clemons,10,8
•Adelaide Stafford,10,8
•Yara Wright,10,8
•Todd Wooten,10,6
•Todd Wooten,10,10
•Tasnia Sharma,8,7
•Roman Oconnell,8,6
•Roman Oconnell,10,8
•Ellie Glover,10,5
•Ivor Woodard,8,6
•Neha Clemons,9,9
•Todd Wooten,10,9
•Szymon Mcdougall,9,1
•Tasnia Sharma,10,10
•Szymon Mcdougall,8,4
•Roman Oconnell,6,10
•Leland Atkinson,10,1
•Mali Whittington,10,10
•Jem Davey,10,9
•Miah Welch,10,2
•Alexandria Murphy,1,1
•Ivor Woodard,9,9
•Jem Davey,10,10
•Tasnia Sharma,10,6
•Leland Atkinson,10,10
•Ivor Woodard,10,10
¶Poppie Moses,8,1
•Hebe Byrd,10,5
•Ivor Woodard,10,10
•Miah Welch,10,1
•Alexandria Murphy,10,7
•Kwame Castillo,10,7
•Simon Woods,10,6
•Mali Whittington,9,8
•Taliyah Soto,1,1
•Conrad Haney,10,10
¶Brayden Farrow,10,5
•Owen Ruiz,10,10
¶Brayden Farrow,10,8
•Taliyah Soto,10,10
•Szymon Mcdougall,10,10
•Conrad Haney,10,2
•Jolene Mcgowan,9,9
•Asha Reese,9,6
•Roman Oconnell,5,5
•Amelia-PLily Hayden,10,7
•Simon Woods,9,8
•Taliyah Soto,7,3
•Conrad Haney,10,5
•Ellie Glover,10,5
•Abdullahi Edwards,8,5
•Khaleesi Richmond,10,10
•Suzannah Stephenson,10,1
•Hari Waters,10,9
•Khaleesi Richmond,10,8
¶Ammaar Terrell,10,10
¶Ammaar Terrell,10,10
•Suzannah Stephenson,10,9
•Alexandria Murphy,10,8
¶Brayden Farrow,10,10
•Leland Atkinson,10,6
•Brodie O'Brien,10,10
•Hebe Byrd,10,10
•Roman Oconnell,10,10
•Owen Ruiz,10,10
•Suzannah Stephenson,10,10
•Taliyah Soto,10,9
•Asha Reese,10,1
•Khaleesi Richmond,10,10
•Jem Davey,10,9
•Abdullahi Edwards,10,10
•Roman Oconnell,1,5
•Taliyah Soto,10,10
¶Ammaar Terrell,8,1
•Todd Wooten,10,10
•Jem Davey,10,10
•Owen Ruiz,10,4
•Asha Reese,10,9
•Ellie Glover,10,10
•Cruz Horton,9,5
•Ellie Glover,10,7
•Todd Wooten,10,10
•Ivor Woodard,8,1
¶Brayden Farrow,10,10
•Conrad Haney,8,6
•Todd Wooten,8,5
•Mali Whittington,10,10
•Suzannah Stephenson,10,10
•Leland Atkinson,10,10
•Asha Reese,10,9
•Alexandria Murphy,1,1
•Tasnia Sharma,10,7
•Jolene Mcgowan,10,1
•Miah Welch,10,6
•Murray Obrien,10,8
•Hebe Byrd,10,10
•Hari Waters,10,5
•Hebe Byrd,9,1
•Abdullahi Edwards,10,10
•Suzannah Stephenson,10,9
•Cruz Horton,10,7
¶Mathias Mcdowell,8,6
•Jolene Mcgowan,10,5
•Asha Reese,10,9
•Amelia-PLily Hayden,9,8
•Jolene Mcgowan,7,6
•Todd Wooten,10,10
•Mali Whittington,8,6
•Leland Atkinson,10,9
•Asha Reese,10,1
•Conrad Haney,10,10
•Ayse Stevens,10,10
•Mali Whittington,10,10
¶Sanjay Barnard,5,5
¶Ammaar Terrell,10,8
•Ellie Glover,10,7
¶Sanjay Barnard,1,1
•Asha Reese,9,9
•Suzannah Stephenson,10,5
•Roman Oconnell,10,9
¶Sanjay Barnard,10,6
•Todd Wooten,10,8
•Conrad Haney,10,8
¶Sanjay Barnard,10,10
•Amelia-PLily Hayden,9,4
•Hebe Byrd,10,6
•Suzannah Stephenson,10,7
•Szymon Mcdougall,1,10
¶Brayden Farrow,10,10
•Ayse Stevens,10,10
•Ellie Glover,9,10
•Amelia-PLily Hayden,10,10
•Ivor Woodard,7,4
•Conrad Haney,10,5
•Ellie Glover,10,5
•Szymon Mcdougall,9,2
•Owen Ruiz,4,4
•Roman Oconnell,10,10
•Ellie Glover,2,2
•Asha Reese,10,10
¶Sanjay Barnard,10,8
•Miah Welch,10,8
•Taliyah Soto,10,6
•Simon Woods,8,8
•Taliyah Soto,10,8
•Taliyah Soto,10,5
•Lennox Fleming,10,10
•Abdullahi Edwards,10,4
•Amelia-PLily Hayden,10,10
•Cruz Horton,10,10
¶Brayden Farrow,10,10
•Abdullahi Edwards,10,8
•Cerys Rhodes,10,8
•Cerys Rhodes,10,10
•Asha Reese,10,10
¶Sanjay Barnard,10,10
•Hebe Byrd,10,9
•Khaleesi Richmond,10,5
•Abdullahi Edwards,10,10
•Hebe Byrd,5,5
•Cristiano Bender,5,5
•Owen Ruiz,1,1
•Simon Woods,10,5
•Cerys Rhodes,10,10
•Amelia-PLily Hayden,8,8
•Abdullahi Edwards,10,7
•Miah Welch,10,10
•Khaleesi Richmond,10,10
•Suzannah Stephenson,10,10
•Suzannah Stephenson,10,5
•Cerys Rhodes,9,7
•Cristiano Bender,10,10
•Asha Reese,1,1
•Mali Whittington,10,3
•Khaleesi Richmond,1,1
•Murray Obrien,10,10
•Mali Whittington,10,10
•Leland Atkinson,1,1
¶Brayden Farrow,10,10
•Abdullahi Edwards,8,7
¶Sanjay Barnard,10,10
•Hebe Byrd,10,5
•Abdullahi Edwards,1,1
•Miah Welch,9,1
•Abdullahi Edwards,10,10
•Cristiano Bender,10,7
•Abdullahi Edwards,10,10
•Grady Forster,10,4
¶Sanjay Barnard,10,10
•Simon Woods,10,10
•Simon Woods,10,10
•Miah Welch,10,7
•Alanah Fowler,10,7
•Cruz Horton,10,8
•Alanah Fowler,10,10
•Suzannah Stephenson,10,10
•Amelia-PLily Hayden,10,8
¶Sanjay Barnard,9,5
•Miah Welch,10,8
•Rikki Kumar,8,8
•Miah Welch,10,7
•Grady Forster,10,6
•Asha Reese,10,6
•Simon Woods,10,8
